CaseID,3. Do you currently live on a farm?,"15a. Increasing public access to natural areas for recreation (hiking, biking, a  swimming, fishing, hunting, etc.)",15b. Beautification of the landscape,15c. Increasing crop production,15d. Increasing livestock production,15e. Improving flood control,15f. Protecting drinking water quality,15g. Protecting water quality for swimming/boating,15h. Protecting water quality for aquatic life,15i. Restoring native prairie,15j. Restoring wetlands,15k.Reducing greenhouse gases (carbon sequestration),15l. Increasing rural job opportunities,15m. Increasing tourism opportunities,15n. Improving game wildlife habitat,15o. Improving non-game wildlife habitat,15p. Other
10854,Yes,Slight Priority,Slight Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,No Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,No Priority,8
10866,No,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,8
10875,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10891,No,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,8
10896,No,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10902,No,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,High Priority,High Priority,8
10904,No,No Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Slight Priority,Very High Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Slight Priority,High Priority,High Priority,8
10908,No,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,8
10910,No,No Priority,No Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,High Priority,Moderate Priority,No Priority,No Priority,No Priority,Very High Priority,Very High Priority,Moderate Priority,No Priority,8
10911,Yes,Slight Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10917,No,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,8
10921,No,No Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,8
10940,No,Moderate Priority,Slight Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
10945,No,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,8
10946,No,No Priority,Slight Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,No Priority,No Priority,Slight Priority,Very High Priority,Slight Priority,Moderate Priority,Slight Priority,8
10949,No,Slight Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,Very High Priority,Slight Priority,High Priority,Slight Priority,Slight Priority,High Priority,High Priority,Slight Priority,Moderate Priority,High Priority,8
10952,No,Moderate Priority,No Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,No Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,No Priority,Moderate Priority,No Priority,8
10956,No,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10959,No,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,High Priority,8
10972,No,Very High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10973,Yes,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,8
10981,No,No Priority,Slight Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Slight Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,No Priority,Very High Priority,8
10983,No,Slight Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,Very High Priority
10988,No,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,No Priority,Moderate Priority,No Priority,Moderate Priority,Slight Priority,8
10990,Yes,Slight Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Slight Priority,Slight Priority,Slight Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority
10996,Yes,No Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Moderate Priority,No Priority,Slight Priority,Slight Priority,Slight Priority,No Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,8
11004,No,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
11009,Yes,No Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,No Priority,No Priority,No Priority,No Priority,No Priority,Very High Priority,High Priority,Moderate Priority,No Priority,8
11013,No,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Slight Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,8
11016,No,Very High Priority,No Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,8
11017,No,Moderate Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,8
11023,No,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,No Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
11038,No,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Slight Priority,High Priority,Moderate Priority,8
11052,No,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,8
11068,Yes,No Priority,Slight Priority,High Priority,Moderate Priority,Slight Priority,High Priority,High Priority,High Priority,Moderate Priority,Slight Priority,No Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,8
11100,No,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,8
11108,No,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,8
11116,No,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
11143,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Very High Priority,High Priority,Slight Priority,No Priority,8
11177,No,Moderate Priority,High Priority,Slight Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,8
11178,No,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,No Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
11179,No,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,8
11185,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,8
11193,No,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20015,No,Very High Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,8
20018,No,Very High Priority,Slight Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Slight Priority,Slight Priority,Slight Priority,Very High Priority,Moderate Priority,Very High Priority,No Priority,Very High Priority
20022,No,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,High Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,8
20036,No,Moderate Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,No Priority,Very High Priority,Moderate Priority,High Priority,Slight Priority,8
20038,No,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,8
20059,No,9,Slight Priority,Very High Priority,Very High Priority,Slight Priority,Very High Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,8
20060,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,8
20066,No,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,No Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
20068,Yes,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20070,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20081,Yes,No Priority,No Priority,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,No Priority,No Priority,No Priority,8
20082,No,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,8
20085,No,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,No Priority,Very High Priority,Very High Priority,High Priority,No Priority,8
20093,Yes,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,Very High Priority,High Priority,8
20096,No,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20101,No,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,8
20117,Yes,High Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,8
20121,No,Slight Priority,No Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
20123,No,Moderate Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,8
20126,No,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Slight Priority,High Priority,Very High Priority,Slight Priority,No Priority,Moderate Priority,Moderate Priority,8
20128,No,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20132,Yes,Slight Priority,Slight Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,Slight Priority,Moderate Priority,No Priority,Slight Priority,Slight Priority,Very High Priority,Moderate Priority,Slight Priority,No Priority,8
20134,Yes,High Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,No Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,8
20138,No,Slight Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,8
20147,No,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,No Priority,High Priority,High Priority,Very High Priority
20154,Yes,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,8
20159,No,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,Very High Priority,High Priority,8
20174,No,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
20175,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Slight Priority,Moderate Priority,8
20194,No,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,No Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,8
20195,No,Slight Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Slight Priority,Slight Priority,8
20198,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,8
20212,No,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
20220,No,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,8
20225,Yes,Slight Priority,Slight Priority,No Priority,Slight Priority,No Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,No Priority,No Priority,High Priority,Moderate Priority,Slight Priority,No Priority,8
20248,Yes,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,8
20258,No,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,No Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,8
20276,No,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Very High Priority,No Priority,Moderate Priority,Slight Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
20277,Yes,Slight Priority,Very High Priority,Slight Priority,No Priority,Moderate Priority,Very High Priority,No Priority,No Priority,No Priority,No Priority,No Priority,Very High Priority,Very High Priority,No Priority,No Priority,8
20282,Yes,Moderate Priority,No Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority
20287,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,8
20291,No,Moderate Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20295,No,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,8
20300,Yes,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,No Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,8
20303,No,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,8
20307,No,Moderate Priority,No Priority,No Priority,No Priority,No Priority,Moderate Priority,No Priority,Moderate Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,8
20310,No,Slight Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,No Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Slight Priority,Moderate Priority,Moderate Priority,8
20329,Yes,Slight Priority,Slight Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,No Priority,Slight Priority,Slight Priority,High Priority,Slight Priority,High Priority,Slight Priority,8
20360,Yes,High Priority,No Priority,Moderate Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,8
20369,No,No Priority,No Priority,No Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,No Priority,No Priority,8
20373,No,Slight Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,8
20376,No,Moderate Priority,Slight Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,Very High Priority
20379,No,Slight Priority,Slight Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
20391,Yes,High Priority,Very High Priority,No Priority,No Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,9,9,Very High Priority,Very High Priority,Moderate Priority,9,8
20397,Yes,High Priority,High Priority,High Priority,High Priority,No Priority,High Priority,High Priority,High Priority,No Priority,No Priority,High Priority,High Priority,High Priority,No Priority,No Priority,8
20404,No,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,8
20409,Yes,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,8
20416,No,Slight Priority,No Priority,Very High Priority,Very High Priority,Slight Priority,High Priority,High Priority,High Priority,No Priority,No Priority,No Priority,Very High Priority,Moderate Priority,Slight Priority,No Priority,8
20418,No,No Priority,No Priority,Very High Priority,Very High Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,No Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20428,No,Very High Priority,Moderate Priority,No Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,Very High Priority,Slight Priority,Very High Priority,Very High Priority,8
20431,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,8
20443,No,High Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,8
20461,No,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,8
20472,No,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Slight Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority
20473,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,8
20476,No,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,8
20493,Yes,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Slight Priority,Slight Priority,No Priority,Very High Priority,Moderate Priority,Moderate Priority,No Priority,8
20503,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Slight Priority,8
20507,No,No Priority,No Priority,Slight Priority,Slight Priority,No Priority,Very High Priority,No Priority,Very High Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,No Priority,Moderate Priority,No Priority,8
20508,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
20510,No,No Priority,Slight Priority,No Priority,Slight Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,No Priority,No Priority,Moderate Priority,High Priority,High Priority,High Priority,No Priority,8
20511,No,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,8
20513,No,Slight Priority,High Priority,High Priority,Slight Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,High Priority,Slight Priority,Slight Priority,8
20515,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
20530,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,8
20532,Yes,High Priority,High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,8
20543,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
20549,No,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,8
20551,No,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,8
20561,Yes,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Slight Priority,High Priority,Moderate Priority,8
20563,No,Slight Priority,No Priority,Slight Priority,No Priority,Slight Priority,High Priority,Slight Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,No Priority,Slight Priority,Moderate Priority,8
20565,No,Slight Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,No Priority,Very High Priority,Very High Priority,8
20575,No,High Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,High Priority,High Priority,High Priority,Slight Priority,Slight Priority,8
20581,No,High Priority,Slight Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,No Priority,High Priority,Slight Priority,Moderate Priority,Slight Priority,8
20582,No,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,8
20592,Yes,Very High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Very High Priority
20593,No,Very High Priority,Very High Priority,No Priority,No Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,No Priority,Very High Priority,No Priority,Very High Priority,Very High Priority,8
